# vim: nowrap
#
# Level info.
#

#
# id     depth   short name                 level name   upgrade?       optional?              stairs[0]                 stairs[1]
"NEC" 	     1 	     "Nec3" 	      "1/Necropolis/3" 	 nay    	    nay 	               - 	                 -
"NEC" 	     1 	     "Nec2" 	      "1/Necropolis/2" 	 nay    	    nay 	"1/Necropolis/3" 	                 -
"NEC" 	     1 	      "Nec" 	        "1/Necropolis" 	 nay    	    yea 	"1/Necropolis/2" 	                 -
"PRI" 	     1 	      "Pri" 	            "1/Prison" 	 nay    	    nay 	               - 	                 -
"PRI" 	     2 	      "Pri" 	            "2/Prison" 	 nay    	    nay 	      "1/Prison" 	                 -
"HLD" 	     3 	      "Hld" 	           "3/Holding" 	 nay    	    yea 	               - 	        "2/Prison"
"LAB" 	     3 	     "Lab3" 	      "3/Laboratory/3" 	 nay    	    yea 	      "2/Prison" 	       "3/Holding"
"LAB" 	     3 	     "Lab2" 	      "3/Laboratory/2" 	 nay    	    yea 	               - 	  "3/Laboratory/3"
"SIN" 	     3 	      "Sin" 	            "3/Shrine" 	 nay    	    yea 	      "2/Prison" 	                 -
"LAB" 	     3 	      "Lab" 	        "3/Laboratory" 	 yea    	    nay 	      "2/Prison" 	  "3/Laboratory/2"
"PRI" 	     4 	      "Pri" 	            "4/Prison" 	 nay    	    nay 	  "3/Laboratory" 	                 -
#"CAV" 	     5 	     "Cav3" 	         "5/Caverns/3" 	 nay    	    yea 	               - 	        "4/Prison"
#"CAV" 	     5 	     "Cav2" 	         "5/Caverns/2" 	 nay    	    yea 	               - 	     "5/Caverns/3"
"CAV" 	     5 	      "Cav" 	           "5/Caverns" 	 nay    	    yea 	               - 	                 -
"PRI" 	     5 	      "Pri" 	            "5/Prison" 	 yea    	    nay 	      "4/Prison" 	                 -
"CRY" 	     6 	      "Cry" 	             "6/Crypt" 	 nay    	    yea 	      "5/Prison" 	                 -
"WRK" 	     6 	     "Wrk3" 	        "6/Workshop/3" 	 nay    	    yea 	      "5/Prison" 	         "6/Crypt"
"WRK" 	     6 	     "Wrk2" 	        "6/Workshop/2" 	 nay    	    yea 	               - 	    "6/Workshop/3"
"SIN" 	     6 	      "Sin" 	            "6/Shrine" 	 nay    	    yea 	      "5/Prison" 	                 -
"WRK" 	     6 	      "Wrk" 	          "6/Workshop" 	 yea    	    nay 	      "5/Prison" 	    "6/Workshop/2"
"PRI" 	     7 	      "Pri" 	            "7/Prison" 	 nay    	    nay 	    "6/Workshop" 	                 -
"PRI" 	     8 	      "Pri" 	            "8/Prison" 	 nay    	    nay 	      "7/Prison" 	                 -

#"TUT" 	       "Adv. Tutorial" 	 nay    	    nay 	      "7/Prison" 	                 -
#"TUT" 	            "Tutorial" 	 nay    	    nay 	               - 	                 -
